frameworkContract;country2;country1;NbProject2;NbProject1;nbLink
H2020;LT;HU;437;171;51
H2020;LT;FR;4407;171;212
H2020;LT;BE;2199;171;149
H2020;LT;CZ;502;171;62
H2020;LT;AT;1399;171;102
H2020;LT;HR;211;171;42
H2020;LU;AT;1399;165;55
H2020;LU;DE;6233;165;222
H2020;LU;IE;849;165;24
H2020;LU;BE;2199;165;126
H2020;LU;IT;4624;165;181
H2020;LU;CZ;502;165;27
H2020;LU;FR;4407;165;181
H2020;LU;LT;171;165;22
H2020;LU;HU;437;165;29
H2020;LU;EL;1411;165;95
H2020;LU;ES;4984;165;186
H2020;LU;BG;238;165;13
H2020;LU;DK;1147;165;31
H2020;LU;EE;236;165;21
H2020;LU;FI;1012;165;40
H2020;LU;HR;211;165;21
H2020;LU;CY;227;165;19
H2020;LV;AT;1399;141;73
H2020;LV;LU;165;141;16
H2020;LV;IE;849;141;49
H2020;LV;DE;6233;141;190
H2020;LV;HU;437;141;38
H2020;LV;EE;236;141;46
H2020;LV;FR;4407;141;105
H2020;LV;CY;227;141;30
H2020;LV;CZ;502;141;49
H2020;LV;IT;4624;141;160
H2020;LV;BG;238;141;32
H2020;LV;HR;211;141;29
H2020;LV;EL;1411;141;67
H2020;LV;FI;1012;141;63
H2020;LV;DK;1147;141;85
H2020;LV;BE;2199;141;124
H2020;LV;LT;171;141;37
H2020;LV;ES;4984;141;134
H2020;MT;EL;1411;83;44
H2020;MT;HR;211;83;13
H2020;MT;IT;4624;83;105
H2020;MT;LU;165;83;12
H2020;MT;ES;4984;83;88
H2020;MT;LT;171;83;13
H2020;MT;FR;4407;83;68
H2020;MT;AT;1399;83;26
H2020;MT;CZ;502;83;14
H2020;MT;BE;2199;83;45
H2020;MT;DE;6233;83;84
H2020;MT;EE;236;83;16
H2020;MT;LV;141;83;18
H2020;MT;IE;849;83;22
H2020;MT;DK;1147;83;39
H2020;MT;HU;437;83;15
H2020;MT;BG;238;83;21
H2020;MT;CY;227;83;30
H2020;MT;FI;1012;83;26
H2020;NL;BE;2199;3078;2285
H2020;NL;MT;83;3078;67
H2020;NL;IE;849;3078;561
H2020;NL;CZ;502;3078;496
H2020;NL;CY;227;3078;117
H2020;NL;ES;4984;3078;3179
H2020;NL;AT;1399;3078;1105
H2020;NL;LT;171;3078;138
H2020;NL;IT;4624;3078;3223
H2020;NL;DE;6233;3078;5408
H2020;NL;HR;211;3078;142
H2020;NL;FR;4407;3078;3355
H2020;NL;EE;236;3078;201
H2020;NL;BG;238;3078;141
H2020;NL;DK;1147;3078;949
H2020;NL;HU;437;3078;338
H2020;NL;LV;141;3078;140
H2020;NL;FI;1012;3078;915
H2020;NL;LU;165;3078;101
H2020;NL;EL;1411;3078;930
H2020;PL;MT;83;775;21
H2020;PL;DK;1147;775;240
H2020;PL;BE;2199;775;509
H2020;PL;DE;6233;775;1164
H2020;PL;IT;4624;775;901
H2020;PL;EL;1411;775;273
H2020;PL;EE;236;775;57
H2020;PL;LU;165;775;35
H2020;PL;FR;4407;775;814
H2020;PL;LV;141;775;71
H2020;PL;HU;437;775;145
H2020;PL;NL;3078;775;576
H2020;PL;ES;4984;775;811
H2020;PL;AT;1399;775;278
H2020;PL;CZ;502;775;170
H2020;PL;BG;238;775;86
H2020;PL;FI;1012;775;235
H2020;PL;IE;849;775;184
H2020;PL;CY;227;775;65
H2020;PL;LT;171;775;75
H2020;PL;HR;211;775;85
H2020;PT;HR;211;1077;89
H2020;PT;DK;1147;1077;334
H2020;PT;NL;3078;1077;715
H2020;PT;AT;1399;1077;446
H2020;PT;EL;1411;1077;487
H2020;PT;DE;6233;1077;1420
H2020;PT;CZ;502;1077;150
H2020;PT;BG;238;1077;86
H2020;PT;FR;4407;1077;1109
H2020;PT;PL;775;1077;264
H2020;PT;MT;83;1077;42
H2020;PT;HU;437;1077;127
H2020;PT;BE;2199;1077;602
H2020;PT;CY;227;1077;117
H2020;PT;ES;4984;1077;1533
H2020;PT;FI;1012;1077;314
H2020;PT;EE;236;1077;75
H2020;PT;IT;4624;1077;1381
H2020;PT;LU;165;1077;49
H2020;PT;LV;141;1077;68
H2020;PT;IE;849;1077;237
H2020;PT;LT;171;1077;66
H2020;RO;PT;1077;429;209
H2020;RO;BG;238;429;86
H2020;RO;HU;437;429;79
H2020;RO;FI;1012;429;110
H2020;RO;LT;171;429;69
H2020;RO;HR;211;429;50
H2020;RO;IT;4624;429;662
H2020;RO;BE;2199;429;360
H2020;RO;CZ;502;429;85
H2020;RO;LU;165;429;26
H2020;RO;DK;1147;429;101
H2020;RO;FR;4407;429;382
H2020;RO;DE;6233;429;561
H2020;RO;IE;849;429;123
H2020;RO;CY;227;429;60
H2020;RO;LV;141;429;59
H2020;RO;EE;236;429;56
H2020;RO;ES;4984;429;516
H2020;RO;EL;1411;429;213
H2020;RO;PL;775;429;135
H2020;RO;NL;3078;429;334
H2020;RO;AT;1399;429;191
H2020;RO;MT;83;429;30
H2020;SE;HR;211;1502;82
H2020;SE;PL;775;1502;322
H2020;SE;DK;1147;1502;532
H2020;SE;IT;4624;1502;1766
H2020;SE;LT;171;1502;87
H2020;SE;LU;165;1502;41
H2020;SE;FI;1012;1502;620
H2020;SE;CY;227;1502;59
H2020;SE;IE;849;1502;288
H2020;SE;RO;429;1502;160
H2020;SE;CZ;502;1502;251
H2020;SE;BE;2199;1502;839
H2020;SE;MT;83;1502;31
H2020;SE;HU;437;1502;175
H2020;SE;EL;1411;1502;524
H2020;SE;EE;236;1502;80
H2020;SE;BG;238;1502;92
H2020;SE;NL;3078;1502;1233
H2020;SE;FR;4407;1502;1765
H2020;SE;ES;4984;1502;1891
H2020;SE;DE;6233;1502;2619
H2020;SE;PT;1077;1502;347
H2020;SE;AT;1399;1502;586
H2020;SE;LV;141;1502;68
H2020;SI;DE;6233;417;507
H2020;SI;DK;1147;417;126
H2020;SI;SE;1502;417;136
H2020;SI;CZ;502;417;64
H2020;SI;EL;1411;417;178
H2020;SI;BE;2199;417;276
H2020;SI;FR;4407;417;346
H2020;SI;NL;3078;417;270
H2020;SI;CY;227;417;58
H2020;SI;EE;236;417;41
H2020;SI;RO;429;417;95
H2020;SI;LT;171;417;38
H2020;SI;ES;4984;417;511
H2020;SI;IT;4624;417;486
H2020;SI;FI;1012;417;138
H2020;SI;PL;775;417;108
H2020;SI;IE;849;417;93
H2020;SI;LU;165;417;21
H2020;SI;BG;238;417;41
H2020;SI;PT;1077;417;160
H2020;SI;AT;1399;417;214
H2020;SI;HR;211;417;55
H2020;SI;MT;83;417;17
H2020;SI;HU;437;417;70
H2020;SI;LV;141;417;52
H2020;SK;BE;2199;235;183
H2020;SK;FI;1012;235;68
H2020;SK;IE;849;235;83
H2020;SK;RO;429;235;61
H2020;SK;SI;417;235;48
H2020;SK;ES;4984;235;244
H2020;SK;CZ;502;235;112
H2020;SK;PL;775;235;90
H2020;SK;SE;1502;235;94
H2020;SK;CY;227;235;31
H2020;SK;IT;4624;235;248
H2020;SK;AT;1399;235;185
H2020;SK;LT;171;235;54
H2020;SK;LV;141;235;38
H2020;SK;MT;83;235;11
H2020;SK;EL;1411;235;91
H2020;SK;PT;1077;235;86
H2020;SK;NL;3078;235;163
H2020;SK;DE;6233;235;332
H2020;SK;HR;211;235;48
H2020;SK;BG;238;235;36
H2020;SK;DK;1147;235;80
H2020;SK;LU;165;235;19
H2020;SK;FR;4407;235;264
H2020;SK;EE;236;235;29
H2020;SK;HU;437;235;62
H2020;UK;MT;83;6234;91
H2020;UK;EL;1411;6234;2004
H2020;UK;AT;1399;6234;1474
H2020;UK;LT;171;6234;183
H2020;UK;SE;1502;6234;2012
H2020;UK;EE;236;6234;208
H2020;UK;LV;141;6234;151
H2020;UK;ES;4984;6234;6040
H2020;UK;FR;4407;6234;5683
H2020;UK;BE;2199;6234;2789
H2020;UK;NL;3078;6234;4013
H2020;UK;HU;437;6234;495
H2020;UK;DE;6233;6234;8121
H2020;UK;RO;429;6234;469
H2020;UK;CZ;502;6234;604
H2020;UK;PT;1077;6234;1439
H2020;UK;BG;238;6234;284
H2020;UK;IT;4624;6234;6061
H2020;UK;FI;1012;6234;1282
H2020;UK;IE;849;6234;1086
H2020;UK;HR;211;6234;235
H2020;UK;SI;417;6234;426
H2020;UK;LU;165;6234;192
H2020;UK;CY;227;6234;265
H2020;UK;DK;1147;6234;1403
H2020;UK;SK;235;6234;204
H2020;UK;PL;775;6234;930
