country1,country2,nbLinkTmp,frameworkContract
Belgium,Latvia,66,H2020
Bulgaria,Latvia,28,H2020
Croatia,Latvia,27,H2020
Cyprus,Latvia,25,H2020
Czech Republic,Latvia,38,H2020
Denmark,Latvia,43,H2020
Estonia,Latvia,34,H2020
Finland,Latvia,40,H2020
France,Latvia,63,H2020
Germany,Latvia,83,H2020
Greece,Latvia,47,H2020
Hungary,Latvia,31,H2020
Ireland,Latvia,35,H2020
Italy,Latvia,74,H2020
Austria,Lithuania,67,H2020
Belgium,Lithuania,74,H2020
Bulgaria,Lithuania,24,H2020
Croatia,Lithuania,36,H2020
Cyprus,Lithuania,20,H2020
Czech Republic,Lithuania,52,H2020
Denmark,Lithuania,46,H2020
Estonia,Lithuania,26,H2020
Finland,Lithuania,38,H2020
France,Lithuania,79,H2020
Germany,Lithuania,101,H2020
Greece,Lithuania,45,H2020
Hungary,Lithuania,44,H2020
Ireland,Lithuania,45,H2020
Italy,Lithuania,79,H2020
Latvia,Lithuania,30,H2020
Austria,Netherlands,362,H2020
Belgium,Netherlands,634,H2020
Bulgaria,Netherlands,70,H2020
Croatia,Netherlands,86,H2020
Cyprus,Netherlands,65,H2020
Czech Republic,Netherlands,192,H2020
Denmark,Netherlands,326,H2020
Estonia,Netherlands,82,H2020
Finland,Netherlands,274,H2020
France,Netherlands,771,H2020
Germany,Netherlands,1075,H2020
Greece,Netherlands,322,H2020
Hungary,Netherlands,151,H2020
Ireland,Netherlands,225,H2020
Italy,Netherlands,785,H2020
Latvia,Netherlands,69,H2020
Lithuania,Netherlands,77,H2020
Malta,Netherlands,34,H2020
Luxembourg,Netherlands,51,H2020
Austria,Poland,174,H2020
Belgium,Poland,236,H2020
Bulgaria,Poland,68,H2020
Croatia,Poland,68,H2020
Cyprus,Poland,51,H2020
Czech Republic,Poland,118,H2020
Denmark,Poland,139,H2020
Estonia,Poland,50,H2020
Finland,Poland,111,H2020
France,Poland,320,H2020
Germany,Poland,384,H2020
Greece,Poland,169,H2020
Hungary,Poland,98,H2020
Ireland,Poland,110,H2020
Italy,Poland,337,H2020
Latvia,Poland,57,H2020
Lithuania,Poland,60,H2020
Netherlands,Poland,252,H2020
Malta,Poland,17,H2020
Luxembourg,Poland,29,H2020
Austria,Portugal,174,H2020
Belgium,Portugal,267,H2020
Bulgaria,Portugal,58,H2020
Croatia,Portugal,64,H2020
Cyprus,Portugal,62,H2020
Czech Republic,Portugal,100,H2020
Denmark,Portugal,148,H2020
Estonia,Portugal,57,H2020
Finland,Portugal,143,H2020
France,Portugal,370,H2020
Germany,Portugal,419,H2020
Greece,Portugal,221,H2020
Hungary,Portugal,84,H2020
Ireland,Portugal,129,H2020
Italy,Portugal,371,H2020
Latvia,Portugal,52,H2020
Lithuania,Portugal,45,H2020
Netherlands,Portugal,263,H2020
Poland,Portugal,155,H2020
Malta,Portugal,22,H2020
Luxembourg,Portugal,37,H2020
Austria,Romania,100,H2020
Belgium,Romania,142,H2020
Bulgaria,Romania,51,H2020
Croatia,Romania,36,H2020
Cyprus,Romania,44,H2020
Czech Republic,Romania,62,H2020
Denmark,Romania,66,H2020
Estonia,Romania,41,H2020
Finland,Romania,68,H2020
France,Romania,160,H2020
Germany,Romania,203,H2020
Greece,Romania,111,H2020
Hungary,Romania,62,H2020
Ireland,Romania,76,H2020
Italy,Romania,192,H2020
Latvia,Romania,50,H2020
Lithuania,Romania,38,H2020
Netherlands,Romania,143,H2020
Poland,Romania,99,H2020
Portugal,Romania,109,H2020
Malta,Romania,22,H2020
Luxembourg,Romania,22,H2020
Austria,Slovakia,90,H2020
Belgium,Slovakia,100,H2020
Bulgaria,Slovakia,31,H2020
Croatia,Slovakia,44,H2020
Cyprus,Slovakia,25,H2020
Czech Republic,Slovakia,79,H2020
Denmark,Slovakia,53,H2020
Estonia,Slovakia,28,H2020
Finland,Slovakia,44,H2020
France,Slovakia,110,H2020
Germany,Slovakia,114,H2020
Greece,Slovakia,61,H2020
Hungary,Slovakia,51,H2020
Ireland,Slovakia,54,H2020
Italy,Slovakia,123,H2020
Latvia,Slovakia,33,H2020
Lithuania,Slovakia,47,H2020
Netherlands,Slovakia,91,H2020
Poland,Slovakia,75,H2020
Portugal,Slovakia,62,H2020
Romania,Slovakia,45,H2020
Malta,Slovakia,11,H2020
Luxembourg,Slovakia,18,H2020
Austria,Slovenia,110,H2020
Belgium,Slovenia,124,H2020
Bulgaria,Slovenia,34,H2020
Croatia,Slovenia,36,H2020
Cyprus,Slovenia,38,H2020
Czech Republic,Slovenia,48,H2020
Denmark,Slovenia,75,H2020
Estonia,Slovenia,32,H2020
Finland,Slovenia,69,H2020
France,Slovenia,158,H2020
Germany,Slovenia,184,H2020
Greece,Slovenia,83,H2020
Hungary,Slovenia,48,H2020
Ireland,Slovenia,58,H2020
Italy,Slovenia,172,H2020
Latvia,Slovenia,40,H2020
Lithuania,Slovenia,27,H2020
Netherlands,Slovenia,127,H2020
Poland,Slovenia,76,H2020
Portugal,Slovenia,82,H2020
Romania,Slovenia,61,H2020
Slovakia,Slovenia,37,H2020
Malta,Slovenia,17,H2020
Luxembourg,Slovenia,18,H2020
Austria,Spain,461,H2020
Belgium,Spain,725,H2020
Bulgaria,Spain,106,H2020
Croatia,Spain,111,H2020
Cyprus,Spain,105,H2020
Czech Republic,Spain,239,H2020
Denmark,Spain,348,H2020
Estonia,Spain,84,H2020
Finland,Spain,333,H2020
France,Spain,1063,H2020
Germany,Spain,1313,H2020
Greece,Spain,516,H2020
Hungary,Spain,194,H2020
Ireland,Spain,294,H2020
Italy,Spain,1142,H2020
Latvia,Spain,69,H2020
Lithuania,Spain,78,H2020
Netherlands,Spain,753,H2020
Poland,Spain,311,H2020
Portugal,Spain,402,H2020
Romania,Spain,192,H2020
Slovakia,Spain,113,H2020
Slovenia,Spain,168,H2020
Malta,Spain,37,H2020
Luxembourg,Spain,76,H2020
Austria,Sweden,242,H2020
Belgium,Sweden,340,H2020
Bulgaria,Sweden,48,H2020
Croatia,Sweden,56,H2020
Cyprus,Sweden,45,H2020
Czech Republic,Sweden,132,H2020
Denmark,Sweden,220,H2020
Estonia,Sweden,52,H2020
Finland,Sweden,194,H2020
France,Sweden,480,H2020
Germany,Sweden,639,H2020
Greece,Sweden,203,H2020
Hungary,Sweden,100,H2020
Ireland,Sweden,146,H2020
Italy,Sweden,458,H2020
Latvia,Sweden,51,H2020
Lithuania,Sweden,55,H2020
Netherlands,Sweden,408,H2020
Poland,Sweden,157,H2020
Portugal,Sweden,162,H2020
Romania,Sweden,90,H2020
Slovakia,Sweden,63,H2020
Slovenia,Sweden,84,H2020
Spain,Sweden,491,H2020
Malta,Sweden,17,H2020
Luxembourg,Sweden,31,H2020
Austria,United Kingdom,491,H2020
Belgium,United Kingdom,810,H2020
Bulgaria,United Kingdom,108,H2020
Croatia,United Kingdom,97,H2020
Cyprus,United Kingdom,108,H2020
Czech Republic,United Kingdom,251,H2020
Denmark,United Kingdom,431,H2020
Estonia,United Kingdom,97,H2020
Finland,United Kingdom,370,H2020
France,United Kingdom,1222,H2020
Germany,United Kingdom,1592,H2020
Greece,United Kingdom,569,H2020
Hungary,United Kingdom,204,H2020
Ireland,United Kingdom,336,H2020
Italy,United Kingdom,1254,H2020
Latvia,United Kingdom,74,H2020
Lithuania,United Kingdom,89,H2020
Netherlands,United Kingdom,990,H2020
Poland,United Kingdom,346,H2020
Portugal,United Kingdom,418,H2020
Romania,United Kingdom,172,H2020
Slovakia,United Kingdom,110,H2020
Slovenia,United Kingdom,173,H2020
Spain,United Kingdom,1215,H2020
Sweden,United Kingdom,590,H2020
Malta,United Kingdom,41,H2020
Luxembourg,United Kingdom,89,H2020
Austria,Malta,22,H2020
Belgium,Malta,27,H2020
Bulgaria,Malta,18,H2020
Croatia,Malta,13,H2020
Cyprus,Malta,18,H2020
Czech Republic,Malta,14,H2020
Denmark,Malta,23,H2020
Estonia,Malta,15,H2020
Finland,Malta,17,H2020
France,Malta,37,H2020
Germany,Malta,33,H2020
Greece,Malta,27,H2020
Hungary,Malta,13,H2020
Ireland,Malta,19,H2020
Italy,Malta,40,H2020
Latvia,Malta,17,H2020
Lithuania,Malta,12,H2020
Luxembourg,Malta,10,H2020
Austria,Luxembourg,42,H2020
Belgium,Luxembourg,60,H2020
Bulgaria,Luxembourg,13,H2020
Croatia,Luxembourg,20,H2020
Cyprus,Luxembourg,19,H2020
Czech Republic,Luxembourg,24,H2020
Denmark,Luxembourg,25,H2020
Estonia,Luxembourg,18,H2020
Finland,Luxembourg,25,H2020
France,Luxembourg,79,H2020
Germany,Luxembourg,99,H2020
Greece,Luxembourg,50,H2020
Hungary,Luxembourg,24,H2020
Ireland,Luxembourg,20,H2020
Italy,Luxembourg,68,H2020
Latvia,Luxembourg,15,H2020
Lithuania,Luxembourg,19,H2020
