country1,country2,nbLinkTmp,frameworkContract
Italy,Netherlands,1246,FP6
Greece,Netherlands,615,FP6
Ireland,Netherlands,310,FP6
Finland,Netherlands,510,FP6
Hungary,Netherlands,416,FP6
Cyprus,Netherlands,81,FP6
Czech Republic,Netherlands,416,FP6
Denmark,Netherlands,581,FP6
Lithuania,Netherlands,102,FP6
Bulgaria,Netherlands,167,FP6
Croatia,Netherlands,54,FP6
Latvia,Netherlands,89,FP6
Estonia,Netherlands,136,FP6
Malta,Netherlands,42,FP6
Luxembourg,Netherlands,42,FP6
Austria,Cyprus,63,FP6
Belgium,Cyprus,77,FP6
Bulgaria,Cyprus,51,FP6
Croatia,Cyprus,22,FP6
Austria,Czech Republic,262,FP6
Belgium,Czech Republic,354,FP6
Cyprus,Czech Republic,57,FP6
Bulgaria,Czech Republic,99,FP6
Croatia,Czech Republic,29,FP6
Austria,Romania,151,FP6
Belgium,Romania,170,FP6
France,Romania,259,FP6
Germany,Romania,311,FP6
Italy,Romania,259,FP6
Greece,Romania,199,FP6
Ireland,Romania,72,FP6
Finland,Romania,100,FP6
Poland,Romania,203,FP6
Hungary,Romania,152,FP6
Portugal,Romania,108,FP6
Netherlands,Romania,197,FP6
Cyprus,Romania,56,FP6
Czech Republic,Romania,114,FP6
Denmark,Romania,89,FP6
Lithuania,Romania,75,FP6
Bulgaria,Romania,132,FP6
Croatia,Romania,35,FP6
Latvia,Romania,59,FP6
Estonia,Romania,69,FP6
Malta,Romania,38,FP6
Luxembourg,Romania,14,FP6
Austria,Denmark,284,FP6
Belgium,Denmark,443,FP6
Cyprus,Denmark,47,FP6
Czech Republic,Denmark,228,FP6
Bulgaria,Denmark,95,FP6
Croatia,Denmark,36,FP6
Austria,Lithuania,77,FP6
Belgium,Lithuania,92,FP6
France,Lithuania,132,FP6
Germany,Lithuania,176,FP6
Italy,Lithuania,149,FP6
Greece,Lithuania,97,FP6
Ireland,Lithuania,48,FP6
Finland,Lithuania,68,FP6
Hungary,Lithuania,91,FP6
Cyprus,Lithuania,39,FP6
Czech Republic,Lithuania,91,FP6
Denmark,Lithuania,69,FP6
Bulgaria,Lithuania,64,FP6
Croatia,Lithuania,14,FP6
Latvia,Lithuania,71,FP6
Estonia,Lithuania,75,FP6
Austria,Slovenia,188,FP6
Belgium,Slovenia,212,FP6
France,Slovenia,284,FP6
Germany,Slovenia,365,FP6
Italy,Slovenia,299,FP6
Greece,Slovenia,154,FP6
