"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2004","Azerbaijan","Total","Total","Number","8 265 700",""
"2004","Georgia","Total","Total","Number","4 315 200","e"
"2005","European Union (28 countries)","Total","Total","Number","494 598 322",""
"2005","European Union (27 countries)","Total","Total","Number","490 287 461",""
"2005","Euro area (19 countries)","Total","Total","Number","328 141 448",""
"2005","Euro area (18 countries)","Total","Total","Number","324 786 228",""
"2005","Belgium","Total","Total","Number","10 445 852",""
"2005","Bulgaria","Total","Total","Number","7 688 573",""
"2005","Czech Republic","Total","Total","Number","10 198 855",""
"2005","Denmark","Total","Total","Number","5 411 405",""
"2005","Germany","Total","Total","Number","82 500 849",""
"2005","Germany","Total","Total","Number","82 500 849",""
"2005","Estonia","Total","Total","Number","1 358 850",""
"2005","Ireland","Total","Total","Number","4 111 672",""
"2005","Greece","Total","Total","Number","10 969 912",""
"2005","Spain","Total","Total","Number","43 296 338",""
"2005","France","Total","Total","Number","62 772 870",""
"2005","France (metropolitan)","Total","Total","Number","60 963 264",""
"2005","Croatia","Total","Total","Number","4 310 861",""
"2005","Italy","Total","Total","Number","57 874 753",""
"2005","Cyprus","Total","Total","Number","733 067",""
"2005","Latvia","Total","Total","Number","2 249 724",""
"2005","Lithuania","Total","Total","Number","3 355 220",""
"2005","Luxembourg","Total","Total","Number","461 230",""
"2005","Hungary","Total","Total","Number","10 097 549",""
"2005","Malta","Total","Total","Number","402 668",""
"2005","Netherlands","Total","Total","Number","16 305 526",""
"2005","Austria","Total","Total","Number","8 201 359",""
"2005","Poland","Total","Total","Number","38 173 835",""
"2005","Portugal","Total","Total","Number","10 494 672",""
"2005","Romania","Total","Total","Number","21 382 354",""
"2005","Slovenia","Total","Total","Number","1 997 590",""
"2005","Slovakia","Total","Total","Number","5 372 685",""
"2005","Finland","Total","Total","Number","5 236 611",""
"2005","Sweden","Total","Total","Number","9 011 392",""
"2005","United Kingdom","Total","Total","Number","60 182 050",""
"2005","European Economic Area (EU-28 plus IS, LI, NO)","Total","Total","Number","499 532 862",""
"2005","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","Number","495 222 001",""
"2005","European Free Trade Association","Total","Total","Number","12 349 642",""
"2005","Iceland","Total","Total","Number","293 577",""
"2005","Liechtenstein","Total","Total","Number","34 600",""
"2005","Norway","Total","Total","Number","4 606 363",""
"2005","Switzerland","Total","Total","Number","7 415 102",""
"2005","Montenegro","Total","Total","Number","613 420",""
"2005","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2 035 196",""
"2005","Albania","Total","Total","Number","3 134 975",""
"2005","Serbia","Total","Total","Number","7 456 050",""
"2005","Turkey","Total","Total","Number","68 010 221",""
"2005","Andorra","Total","Total","Number","76 875",""
"2005","Belarus","Total","Total","Number","9 800 073",""
"2005","Bosnia and Herzegovina","Total","Total","Number","3 842 532","e"
"2005","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number","2 041 000",""
"2005","Moldova","Total","Total","Number","3 600 436",""
"2005","Monaco","Total","Total","Number","33 085",""
"2005","Russia","Total","Total","Number","143 474 219",""
"2005","San Marino","Total","Total","Number","29 673",""
"2005","Ukraine","Total","Total","Number","47 100 462",""
"2005","Armenia","Total","Total","Number","3 215 800",""
"2005","Azerbaijan","Total","Total","Number","8 347 300",""
"2005","Georgia","Total","Total","Number","4 321 500","e"
"2006","European Union (28 countries)","Total","Total","Number","496 436 597",""
"2006","European Union (27 countries)","Total","Total","Number","492 124 110",""
"2006","Euro area (19 countries)","Total","Total","Number","329 684 938",""
"2006","Euro area (18 countries)","Total","Total","Number","326 395 103",""
"2006","Belgium","Total","Total","Number","10 511 382",""
"2006","Bulgaria","Total","Total","Number","7 629 371",""
"2006","Czech Republic","Total","Total","Number","10 223 577",""
