"SEX","GEO","TIME","AGE","UNIT","ISCED11","Value"
"T","CZ","2004","Y15-64","PC","ED3-8","82.4"
"T","CZ","2004","Y15-64","PC","ED3_4","72.0"
"T","CZ","2004","Y15-64","PC","ED5-8","10.4"
"T","CZ","2005","Y15-64","PC","ED0-2","16.8"
"T","CZ","2005","Y15-64","PC","ED3-8","83.2"
"T","CZ","2005","Y15-64","PC","ED3_4","72.2"
"T","CZ","2005","Y15-64","PC","ED5-8","11.0"
"T","CZ","2006","Y15-64","PC","ED0-2","16.4"
"T","CZ","2006","Y15-64","PC","ED3-8","83.6"
"T","CZ","2006","Y15-64","PC","ED3_4","72.2"
"T","CZ","2006","Y15-64","PC","ED5-8","11.4"
"T","CZ","2007","Y15-64","PC","ED0-2","16.2"
"T","CZ","2007","Y15-64","PC","ED3-8","83.8"
"T","CZ","2007","Y15-64","PC","ED3_4","72.2"
"T","CZ","2007","Y15-64","PC","ED5-8","11.6"
"T","CZ","2008","Y15-64","PC","ED0-2","15.8"
"T","CZ","2008","Y15-64","PC","ED3-8","84.2"
"T","CZ","2008","Y15-64","PC","ED3_4","71.7"
"T","CZ","2008","Y15-64","PC","ED5-8","12.4"
"T","CZ","2009","Y15-64","PC","ED0-2","15.2"
"T","CZ","2009","Y15-64","PC","ED3-8","84.8"
"T","CZ","2009","Y15-64","PC","ED3_4","71.4"
"T","CZ","2009","Y15-64","PC","ED5-8","13.4"
"T","CZ","2010","Y15-64","PC","ED0-2","14.4"
"T","CZ","2010","Y15-64","PC","ED3-8","85.6"
"T","CZ","2010","Y15-64","PC","ED3_4","71.1"
"T","CZ","2010","Y15-64","PC","ED5-8","14.5"
"T","CZ","2011","Y15-64","PC","ED0-2","13.9"
"T","CZ","2011","Y15-64","PC","ED3-8","86.1"
"T","CZ","2011","Y15-64","PC","ED3_4","70.3"
"T","CZ","2011","Y15-64","PC","ED5-8","15.8"
"T","CZ","2012","Y15-64","PC","ED0-2","13.4"
"T","CZ","2012","Y15-64","PC","ED3-8","86.6"
"T","CZ","2012","Y15-64","PC","ED3_4","69.6"
"T","CZ","2012","Y15-64","PC","ED5-8","17.0"
"T","CZ","2013","Y15-64","PC","ED0-2","12.9"
"T","CZ","2013","Y15-64","PC","ED3-8","87.1"
"T","CZ","2013","Y15-64","PC","ED3_4","69.0"
"T","CZ","2013","Y15-64","PC","ED5-8","18.1"
"T","CZ","2014","Y15-64","PC","ED0-2","12.4"
"T","CZ","2014","Y15-64","PC","ED3-8","87.6"
"T","CZ","2014","Y15-64","PC","ED3_4","68.5"
"T","CZ","2014","Y15-64","PC","ED5-8","19.1"
"T","CZ","2015","Y15-64","PC","ED0-2","12.4"
"T","CZ","2015","Y15-64","PC","ED3-8","87.6"
"T","CZ","2015","Y15-64","PC","ED3_4","67.8"
"T","CZ","2015","Y15-64","PC","ED5-8","19.8"
"T","DK","2003","Y15-64","PC","ED0-2","25.8"
"T","DK","2003","Y15-64","PC","ED3-8","74.2"
"T","DK","2003","Y15-64","PC","ED3_4","47.0"
"T","DK","2003","Y15-64","PC","ED5-8","27.2"
"T","DK","2004","Y15-64","PC","ED0-2","25.3"
"T","DK","2004","Y15-64","PC","ED3-8","74.7"
"T","DK","2004","Y15-64","PC","ED3_4","46.7"
"T","DK","2004","Y15-64","PC","ED5-8","27.9"
"T","DK","2005","Y15-64","PC","ED0-2","25.7"
"T","DK","2005","Y15-64","PC","ED3-8","74.3"
"T","DK","2005","Y15-64","PC","ED3_4","45.8"
"T","DK","2005","Y15-64","PC","ED5-8","28.5"
"T","DK","2006","Y15-64","PC","ED0-2","25.4"
"T","DK","2006","Y15-64","PC","ED3-8","74.6"
"T","DK","2006","Y15-64","PC","ED3_4","45.3"
"T","DK","2006","Y15-64","PC","ED5-8","29.3"
"T","DK","2007","Y15-64","PC","ED0-2","32.3"
"T","DK","2007","Y15-64","PC","ED3-8","67.7"
"T","DK","2007","Y15-64","PC","ED3_4","41.7"
"T","DK","2007","Y15-64","PC","ED5-8","26.0"
"T","DK","2008","Y15-64","PC","ED0-2","32.9"
"T","DK","2008","Y15-64","PC","ED3-8","67.1"
"T","DK","2008","Y15-64","PC","ED3_4","40.8"
"T","DK","2008","Y15-64","PC","ED5-8","26.3"
"T","DK","2009","Y15-64","PC","ED0-2","32.2"
"T","DK","2009","Y15-64","PC","ED3-8","67.8"
"T","DK","2009","Y15-64","PC","ED3_4","40.9"
"T","DK","2009","Y15-64","PC","ED5-8","26.9"
"T","DK","2010","Y15-64","PC","ED0-2","31.8"
"T","DK","2010","Y15-64","PC","ED3-8","68.2"
"T","DK","2010","Y15-64","PC","ED3_4","40.7"
"T","DK","2010","Y15-64","PC","ED5-8","27.5"
"T","DK","2011","Y15-64","PC","ED0-2","30.7"
"T","DK","2011","Y15-64","PC","ED3-8","69.3"
"T","DK","2011","Y15-64","PC","ED3_4","41.5"
"T","DK","2011","Y15-64","PC","ED5-8","27.9"
"T","DK","2012","Y15-64","PC","ED0-2","29.8"
"T","DK","2012","Y15-64","PC","ED3-8","70.2"
"T","DK","2012","Y15-64","PC","ED3_4","41.6"
"T","DK","2012","Y15-64","PC","ED5-8","28.6"
"T","DK","2013","Y15-64","PC","ED0-2","29.5"
"T","DK","2013","Y15-64","PC","ED3-8","70.5"
"T","DK","2013","Y15-64","PC","ED3_4","41.4"
"T","DK","2013","Y15-64","PC","ED5-8","29.1"
"T","DK","2014","Y15-64","PC","ED0-2","28.2"
"T","DK","2014","Y15-64","PC","ED3-8","71.8"
"T","DK","2014","Y15-64","PC","ED3_4","42.0"
"T","DK","2014","Y15-64","PC","ED5-8","29.8"
"T","DK","2015","Y15-64","PC","ED0-2","27.3"
"T","DK","2015","Y15-64","PC","ED3-8","72.7"
"T","DK","2015","Y15-64","PC","ED3_4","42.0"
"T","DK","2015","Y15-64","PC","ED5-8","30.7"
"T","DE","2003","Y15-64","PC","ED0-2","24.0"
"T","DE","2003","Y15-64","PC","ED3-8","76.0"
"T","DE","2003","Y15-64","PC","ED3_4","55.7"
"T","DE","2003","Y15-64","PC","ED5-8","20.3"
"T","DE","2004","Y15-64","PC","ED0-2","23.6"
"T","DE","2004","Y15-64","PC","ED3-8","76.4"
"T","DE","2004","Y15-64","PC","ED3_4","55.3"
"T","DE","2004","Y15-64","PC","ED5-8","21.1"
"T","DE","2005","Y15-64","PC","ED0-2","24.8"
"T","DE","2005","Y15-64","PC","ED3-8","75.2"
"T","DE","2005","Y15-64","PC","ED3_4","54.6"
"T","DE","2005","Y15-64","PC","ED5-8","20.6"
"T","DE","2006","Y15-64","PC","ED0-2","24.6"
"T","DE","2006","Y15-64","PC","ED3-8","75.4"
"T","DE","2006","Y15-64","PC","ED3_4","55.3"
"T","DE","2006","Y15-64","PC","ED5-8","20.1"
"T","DE","2007","Y15-64","PC","ED0-2","23.5"
"T","DE","2007","Y15-64","PC","ED3-8","76.5"
"T","DE","2007","Y15-64","PC","ED3_4","56.1"
"T","DE","2007","Y15-64","PC","ED5-8","20.4"
"T","DE","2008","Y15-64","PC","ED0-2","22.3"
"T","DE","2008","Y15-64","PC","ED3-8","77.7"
"T","DE","2008","Y15-64","PC","ED3_4","56.3"
"T","DE","2008","Y15-64","PC","ED5-8","21.4"
"T","DE","2009","Y15-64","PC","ED0-2","22.0"
"T","DE","2009","Y15-64","PC","ED3-8","78.0"
"T","DE","2009","Y15-64","PC","ED3_4","55.8"
"T","DE","2009","Y15-64","PC","ED5-8","22.3"
"T","DE","2010","Y15-64","PC","ED0-2","21.0"
"T","DE","2010","Y15-64","PC","ED3-8","79.0"
"T","DE","2010","Y15-64","PC","ED3_4","56.3"
"T","DE","2010","Y15-64","PC","ED5-8","22.7"
"T","DE","2011","Y15-64","PC","ED0-2","18.1"
"T","DE","2011","Y15-64","PC","ED3-8","81.9"
"T","DE","2011","Y15-64","PC","ED3_4","57.6"
"T","DE","2011","Y15-64","PC","ED5-8","24.3"
"T","DE","2012","Y15-64","PC","ED0-2","17.9"
"T","DE","2012","Y15-64","PC","ED3-8","82.1"
"T","DE","2012","Y15-64","PC","ED3_4","57.2"
"T","DE","2012","Y15-64","PC","ED5-8","24.9"
"T","DE","2013","Y15-64","PC","ED0-2","17.7"
"T","DE","2013","Y15-64","PC","ED3-8","82.3"
"T","DE","2013","Y15-64","PC","ED3_4","57.1"
"T","DE","2013","Y15-64","PC","ED5-8","25.2"
"T","DE","2014","Y15-64","PC","ED0-2","19.7"
"T","DE","2014","Y15-64","PC","ED3-8","80.3"
"T","DE","2014","Y15-64","PC","ED3_4","57.1"
"T","DE","2014","Y15-64","PC","ED5-8","23.2"
"T","DE","2015","Y15-64","PC","ED0-2","19.8"
"T","DE","2015","Y15-64","PC","ED3-8","80.2"
"T","DE","2015","Y15-64","PC","ED3_4","56.4"
"T","DE","2015","Y15-64","PC","ED5-8","23.8"
"T","EE","2003","Y15-64","PC","ED0-2","20.6"
"T","EE","2003","Y15-64","PC","ED3-8","79.4"
"T","EE","2003","Y15-64","PC","ED3_4","54.5"
"T","EE","2003","Y15-64","PC","ED5-8","24.8"
"T","EE","2004","Y15-64","PC","ED0-2","20.3"
"T","EE","2004","Y15-64","PC","ED3-8","79.7"
"T","EE","2004","Y15-64","PC","ED3_4","54.0"
"T","EE","2004","Y15-64","PC","ED5-8","25.6"
"T","EE","2005","Y15-64","PC","ED0-2","19.9"
"T","EE","2005","Y15-64","PC","ED3-8","80.1"
"T","EE","2005","Y15-64","PC","ED3_4","52.4"
"T","EE","2005","Y15-64","PC","ED5-8","27.7"
"T","EE","2006","Y15-64","PC","ED0-2","20.6"
"T","EE","2006","Y15-64","PC","ED3-8","79.4"
"T","EE","2006","Y15-64","PC","ED3_4","52.0"
"T","EE","2006","Y15-64","PC","ED5-8","27.4"
