Country	Year	CountryShort	Number of coordinated projects per country	Budget of coordinated projects per country	Total number of projects	Number of projects as participant	GDP	Population	% of the population that study up to secondary education	% of the population that have a secondary or tertiary education	% of the population that have a secondary education	% of the population that have a tertiary education	R&D Budget	R&D Budget of enterprise	R&D Budget of government	R&D Budget of high education	R&D Budget of non-profit organisation	GDP per capita	Budget of coordinated projects per country per capita
229	Italy	2016	IT	447	922054835.22	1977	1530	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
231	Latvia	2004	LV	7	3653419	80	73	  11662100000	2276520	24.5	75.5	59	16.5	46707000	20776000	9080000	16837000	0	5122.77511289161	1.60482622599406
232	Latvia	2005	LV	2	200000	63	61	  13710600000	2249724	24.6	75.4	58.5	16.9	72693000	29609000	13587000	29494000	3000	6094.34757330233	0.0888997939302777
233	Latvia	2007	LV	2	216930	33	31	  22639500000	2208840	24	76	57.5	18.5	125590000	40884000	30463000	54244000	NA	10249.4974737871	0.0982099201390775
234	Latvia	2008	LV	5	2559468.46	61	56	  24317900000	2191810	22.8	77.2	56.5	20.7	141590000	35433000	38991000	67166000	NA	11094.8941742213	1.16774193931043
235	Latvia	2009	LV	1	81419.6	44	43	  18731200000	2162834	21.5	78.5	57	21.4	84882000	30892000	20973000	33018000	NA	8660.48896956493	0.0376448677984533
236	Latvia	2010	LV	4	5922987.4	48	44	  17772400000	2120504	19.5	80.5	57.8	22.6	108649000	40214000	24975000	43459000	NA	8381.21503189808	2.79319793784874
237	Latvia	2011	LV	3	298141.8	39	36	  20144200000	2074605	19.5	80.5	56.8	23.6	140730000	39076000	32846000	68808000	NA	9709.89658272298	0.143710152053041
238	Latvia	2012	LV	6	8410447.2	53	47	  21982700000	2044813	17.4	82.6	57.4	25.2	146516000	33098000	39723000	73735000	NA	10750.4696028439	4.11306422641092
239	Latvia	2013	LV	9	13505589	60	51	  22805200000	2023825	16.6	83.4	56.4	27	139766000	39475000	40377000	59914000	NA	11268.3655948513	6.67329882771485
240	Latvia	2014	LV	3	1078450	27	24	  23580900000	2001468	16.1	83.9	57	26.9	162800000	57800000	39000000	66000000	NA	11781.8021572166	0.538829499147626
241	Latvia	2015	LV	9	3333549.25	70	61	  24377700000	1986096	15.6	84.4	56.3	28.1	152300000	37700000	39000000	75600000	NA	12274.1801000556	1.67844316186126
242	Latvia	2016	LV	6	3209720.75	54	48	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
243	Lithuania	2004	LT	6	2290427	98	92	  18237400000	3398929	21.6	78.4	56.8	21.6	136903000	29339000	33741000	73824000	NA	5365.63135034595	0.67386726818948
244	Lithuania	2005	LT	3	876201	105	102	  21002400000	3355220	20.8	79.2	56.9	22.4	156974000	32003000	39215000	85757000	NA	6259.61933941739	0.261145617873046
245	Lithuania	2006	LT	9	3525247	105	96	  24079200000	3289835	20.7	79.3	57.4	22	190512000	53232000	43530000	93750000	NA	7319.27285107004	1.07155738813649
246	Lithuania	2007	LT	3	1699497	34	31	  29040700000	3249983	19.9	80.1	56.4	23.7	232594000	66352000	48482000	117760000	NA	8935.64674030603	0.522924889145574
247	Lithuania	2009	LT	8	9195488.67	68	60	  26934800000	3183856	18	82	56.5	25.5	223471000	54507000	52305000	116659000	NA	8459.8047147861	2.8881609815268
248	Lithuania	2010	LT	1	106639.6	55	54	  28027700000	3141976	17.1	82.9	56	26.9	219590000	64556000	38520000	116514000	NA	8920.40550277914	0.0339402974433923
249	Lithuania	2011	LT	3	1764727.4	58	55	  31263100000	3052588	15.9	84.1	56.3	27.9	282698000	74114000	55346000	153238000	NA	10241.5065511625	0.578108608171165
250	Lithuania	2012	LT	5	6848304.79	81	76	  33334700000	3003641	15	85	56.4	28.6	298367000	80341000	58416000	159610000	NA	11098.0972759394	2.28000110199588
251	Lithuania	2013	LT	9	23189791.12	68	59	  34962200000	2971905	14.4	85.6	55.8	29.8	332426000	84627000	65918000	181881000	NA	11764.2387626792	7.8030055200284
252	Lithuania	2014	LT	4	3591701.9	29	25	  36444400000	2943472	14.2	85.8	54.3	31.4	376827000	116336000	64044000	196447000	NA	12381.4325395315	1.22022628379003
253	Lithuania	2015	LT	9	2218249.15	67	58	  37123600000	2921262	13.8	86.2	53	33.2	386998000	104068000	66536000	216394000	NA	12708.0693207251	0.759346183259153
254	Lithuania	2016	LT	13	4962910.05	89	76	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
256	Luxembourg	2003	LU	2	4820339	7	5	  25877300000	448300	43.3	56.7	44	12.6	425800000	379400000	44900000	1500000	NA	57723.1764443453	10.7524849431184
257	Luxembourg	2004	LU	2	2350329	20	18	  27660500000	454960	40.3	59.7	38.9	20.8	447700000	393000000	49200000	5500000	NA	60797.6525408827	5.16601239669421
258	Luxembourg	2005	LU	4	34004488	25	21	  29733500000	461230	38.7	61.3	38.3	23	472000000	408000000	56900000	7100000	NA	64465.6678880385	73.7256639854303
259	Luxembourg	2006	LU	4	10538303.02	41	37	  33409300000	469086	39.3	60.7	40.2	20.5	563500000	485000000	66520000	12000000	NA	71222.1213167735	22.4656097602572
260	Luxembourg	2007	LU	2	6362775	20	18	  36766100000	476187	38.7	61.3	38.6	22.7	591600000	495000000	79000000	17600000	NA	77209.3736284275	13.3619250420528
261	Luxembourg	2008	LU	5	13835369	36	31	  37647400000	483799	36.8	63.2	39.5	23.7	618800000	482000000	99000000	37800000	NA	77816.2005295588	28.5973493124211
262	Luxembourg	2009	LU	3	11433879.71	22	19	  36268200000	493500	28.5	71.5	41.3	30.2	620280000	470700000	99880000	49700000	0	73491.7933130699	23.168955845998
263	Luxembourg	2010	LU	3	4549338.2	23	20	  39525500000	502066	28.9	71.1	40.8	30.3	603700000	400000000	128590000	75129000	0	78725.7053853477	9.06123537542873
264	Luxembourg	2011	LU	4	26573819	36	32	  42226900000	511840	29.1	70.9	39.3	31.7	631400000	416200000	147788000	67436000	0	82500.1953735542	51.9182146764614
265	Luxembourg	2012	LU	6	10232985.8	57	51	  43574100000	524853	28.4	71.6	38.2	33.4	561403000	310400000	156226000	94778000	0	83021.5317431738	19.4968606447901
266	Luxembourg	2013	LU	7	20635037.11	46	39	  46541100000	537039	26.1	73.9	38.6	35.2	605731000	317900000	175453000	112378000	NA	86662.4211649433	38.4237217594998
267	Luxembourg	2014	LU	5	4031548.55	28	23	  48897500000	549680	24.9	75.1	35.5	39.6	629800000	338400000	188035000	103385000	NA	88956.3018483481	7.33435553412895
268	Luxembourg	2015	LU	13	22783724.5	81	68	  52112500000	562958	30.3	69.7	34.5	35.2	671070000	342400000	208970000	119700000	NA	92569.0726484036	40.4714463601192
269	Luxembourg	2016	LU	10	15913083.52	63	53	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
271	Malta	2004	MT	4	1134849	41	37	   4867200000	399867	74	26	15.8	10.2	24046000	15906000	607000	7534000	0	12172.0472056959	2.8380661569972
272	Malta	2005	MT	1	446400	29	28	   5142100000	402668	68.9	31.1	20.7	10.3	27213000	18084000	1286000	7843000	0	12770.0736090278	1.10860560064371
273	Malta	2006	MT	1	NA	45	44	   5386100000	404999	67.5	32.5	21.5	11.1	31253000	20685000	1366000	9203000	0	13299.0451828276	NA
274	Malta	2007	MT	2	493377	18	16	   5757500000	405616	67.3	32.7	21	11.7	31580000	20902000	581000	10097000	0	14194.4597846239	1.21636473906355
275	Malta	2009	MT	2	1175300.8	26	24	   6138600000	410926	62	38	25.2	12.8	31761000	20124000	1503000	10134000	0	14938.4560723829	2.86012761421765
276	Malta	2010	MT	4	3250315.49	18	14	   6599500000	414027	60.3	39.7	25.6	14.2	40598000	24548000	1758000	14292000	0	15939.7817050579	7.85049161045053
277	Malta	2011	MT	3	7437776.58	27	24	   6874900000	414989	58.9	41.1	26	15.1	46195000	29960000	1999000	14237000	0	16566.4632074585	17.9228282677372
278	Malta	2012	MT	5	2946282.29	29	24	   7208800000	417546	56.7	43.3	26.9	16.4	59738000	34183000	4748000	20807000	0	17264.6846095999	7.05618612081064
279	Malta	2013	MT	6	3476626.86	37	31	   7671300000	421364	54.9	45.1	27.9	17.2	59054000	30544000	5630000	22879000	0	18205.8742559877	8.25088726137022
280	Malta	2014	MT	4	2007142.8	17	13	   8092900000	425384	53.6	46.4	28.4	18	60539000	33460000	6042000	21037000	0	19024.9280649954	4.71842570477498
281	Malta	2015	MT	2	429907	30	28	   8788400000	429344	52.4	47.6	29.5	18.1	67603000	32794000	11850000	22960000	0	20469.3672206902	1.00131130282477
282	Malta	2016	MT	8	6058971.78	39	31	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
284	Netherlands	2003	NL	19	69408652	88	69	 506671000000	16192572	34.8	65.2	41.4	23.8	9148000000	4804000000	1216000000	3126000000	NA	31290.3348523014	4.2864501081113
285	Netherlands	2004	NL	159	660562333	1198	1039	 523939000000	16258032	33.3	66.7	41.1	25.7	9469000000	5071000000	1253000000	3145000000	NA	32226.4711989741	40.629907297513
286	Netherlands	2005	NL	159	349295433	960	801	 545609000000	16305526	32.6	67.4	41.2	26.2	9772000000	5169000000	1216000000	3387000000	NA	33461.6006867856	21.4219052485642
287	Netherlands	2006	NL	210	564569360	1283	1073	 579212000000	16334210	32.3	67.7	41.5	26.2	10175000000	5480000000	1260000000	3435000000	NA	35460.0559194476	34.5636158712298
288	Netherlands	2007	NL	106	301976555	584	478	 613280000000	16357992	31.5	68.5	41.9	26.7	10342000000	5495000000	1259000000	3588000000	NA	37491.1541710009	18.4604904440594
289	Netherlands	2008	NL	180	508021785.7	1137	957	 639163000000	16405399	31.3	68.7	40.8	27.8	10502000000	5263000000	1259000000	3980000000	NA	38960.5275677842	30.9667436738357
290	Netherlands	2009	NL	165	402264994.64	943	778	 617540000000	16485787	31.2	68.8	40.4	28.4	10408000000	4900000000	1327000000	4181000000	NA	37458.9335650157	24.4007152731016
291	Netherlands	2010	NL	205	660197829.37	1118	913	 631512000000	16574989	31.9	68.1	40.4	27.7	10892000000	5218000000	1279000000	4395000000	NA	38100.2967784775	39.8309663656489
292	Netherlands	2011	NL	245	666634340.58	1322	1077	 642929000000	16655799	31.6	68.4	40.4	28	12235300000	6921738000	1319387000	3994174000	NA	38600.910109446	40.0241585876487
293	Netherlands	2012	NL	309	818328317.09	1443	1134	 645164000000	16730348	30.8	69.2	40.6	28.6	12512616000	7077622000	1481641000	3953353000	NA	38562.49732522	48.9128090515511
294	Netherlands	2013	NL	322	904978606.53	1587	1265	 652748000000	16779575	29	71	41.6	29.3	12746047000	7094800000	1558900000	4092347000	NA	38901.3428528434	53.9333449464602
295	Netherlands	2014	NL	209	534503021.63	748	539	 663008000000	16829289	28.8	71.2	41.4	29.7	13267860000	7433425000	1572252000	4262182000	NA	39396.0790619259	31.7602853947068
296	Netherlands	2015	NL	369	1156167110.91	1460	1091	 676531000000	16900726	28.4	71.6	41.1	30.5	13630000000	7574000000	1681000000	4375000000	NA	40029.7004992567	68.4093163163523
297	Netherlands	2016	NL	320	902375156.26	1240	920	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
299	Poland	2003	PL	4	3073672	48	44	 192274300000	38218531	24.1	75.9	64.3	11.6	1036049000	284049000	421334000	328644000	2023000	5030.91811665917	0.0804236039318204
300	Poland	2004	PL	57	37450715.87	581	524	 206119500000	38190608	23	77	64.2	12.8	1138840000	326633000	444287000	363899000	4021000	5397.12538747747	0.980626332788417
301	Poland	2005	PL	63	25494893	513	450	 246201300000	38173835	21.8	78.2	64.3	13.9	1385658000	439995000	503803000	437559000	4300000	6449.47776402345	0.667863027123159
302	Poland	2006	PL	55	38725632.8	585	530	 274602500000	38157055	21	79	64.2	14.9	1512565000	476989000	560127000	468929000	6520000	7196.6376860059	1.0149009875107
303	Poland	2007	PL	22	4319907	192	170	 313874000000	38125479	20.4	79.6	63.9	15.7	1763618000	535375000	624917000	597986000	5339000	8232.65722117223	0.113307612476161
304	Poland	2008	PL	33	43913204.81	358	325	 366182300000	38115641	19.6	80.4	63.8	16.5	2194186000	678711000	775348000	738191000	1936000	9607.14001897541	1.1521045864085
305	Poland	2009	PL	37	57820875.77	319	282	 317082900000	38135876	18.7	81.3	63.2	18.1	2095827000	597260000	719105000	776828000	2657000	8314.55661330554	1.51618061087675
306	Poland	2010	PL	34	45518451.92	342	308	 361744300000	38022869	18	82	62.6	19.4	2607505000	694295000	935965000	969810000	7410000	9513.86125018604	1.19713354402583
307	Poland	2011	PL	42	39301163.76	365	323	 380176800000	38062718	17.5	82.5	62.2	20.3	2836165000	854633000	979421000	995559000	6552000	9988.16742409199	1.03253697647131
308	Poland	2012	PL	38	57238256.45	329	291	 389273300000	38063792	16.7	83.3	61.8	21.5	3429852000	1276340000	958946000	1181017000	13549000	10226.8659938032	1.50374551358414
309	Poland	2013	PL	32	59378749.36	351	319	 394601800000	38062535	16.1	83.9	61.3	22.6	3436284000	1498797000	921930000	1005432000	10101000	10367.1970350898	1.56003138939642
310	Poland	2014	PL	25	14069564.54	168	143	 410856300000	38017856	15.5	84.5	60.7	23.8	3864016000	1800086000	925531000	1126784000	11615000	10806.929775314	0.37007780081023
311	Poland	2015	PL	45	58696122.91	339	294	 427737400000	38005614	15.2	84.8	60.3	24.4	4316508000	2010325000	1052986000	1246433000	6788000	11254.5846516254	1.54440664766
312	Poland	2016	PL	52	95928224.51	320	268	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
314	Portugal	2003	PT	1	899932	23	22	 146158300000	10444592	75.7	24.3	14.9	9.4	1019581000	338038000	172045000	391797000	117700000	13993.6820892573	0.0861624848534055
315	Portugal	2004	PT	36	65777656	423	387	 152371600000	10473050	73.7	26.3	15.5	10.8	1110346000	400027000	173799000	408492000	128029000	14548.9231885649	6.2806590248304
316	Portugal	2005	PT	22	15463330	226	204	 158652600000	10494672	72.7	27.3	16.3	11.1	1201112000	462015000	175552000	425187000	138357000	15117.4424507979	1.47344576371706
317	Portugal	2006	PT	38	58614210	376	338	 166248700000	10511988	71.7	28.3	16.7	11.7	1586922000	736402000	180014000	506076000	164430000	15815.1531375416	5.57593958440592
318	Portugal	2007	PT	12	12439009	123	111	 175467700000	10532588	71.4	28.6	16.6	12	1972733000	1010790000	184475000	586965000	190503000	16659.5047674892	1.18100214306303
319	Portugal	2008	PT	30	50232649.36	305	275	 178872600000	10553339	70.8	29.2	16.6	12.6	2585075000	1295099000	188316000	891266000	210394000	16949.384455479	4.75988209608352
320	Portugal	2009	PT	47	39120690.13	294	247	 175448200000	10563014	69.2	30.8	17.7	13.1	2771600000	1311070000	202537000	1013728000	244265000	16609.6722015137	3.70355375179849
321	Portugal	2010	PT	53	62997408.57	344	291	 179929800000	10573479	67.3	32.7	18.8	13.9	2757555000	1266296000	196288000	1016624000	278346000	17017.0858617112	5.95805870234385
322	Portugal	2011	PT	38	59795366.62	350	312	 176166600000	10572721	64.2	35.8	20.3	15.5	2566450000	1216346000	189330000	933812000	226962000	16662.3710206672	5.6556270254365
323	Portugal	2012	PT	59	64961968.82	407	348	 168398000000	10542398	61.6	38.4	21.7	16.7	2320133000	1153332000	124224000	846001000	196576000	15973.4056710817	6.16197271436726
324	Portugal	2013	PT	66	119377527.9	455	389	 170269300000	10487289	59.4	40.6	23	17.6	2258471000	1072909000	147150000	1008267000	30145000	16235.77837895	11.3830683887895
325	Portugal	2014	PT	44	50610428.51	237	193	 173079100000	10427301	56.3	43.7	24	19.7	2232249000	1035966000	139833000	1018025000	38425000	16598.6481065426	4.85364606910264
326	Portugal	2015	PT	88	153861371.05	502	414	 179539900000	10374822	54.4	45.6	24.9	20.7	2289143000	1078574000	135289000	1041661000	33618000	17305.3475037933	14.8302661048064
327	Portugal	2016	PT	94	130566563.91	425	331	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
329	Romania	2004	RO	11	4057940	170	159	  61404000000	21521142	34.5	65.5	56.8	8.7	235219000	130092000	80318000	23764000	1045000	2853.19431468832	0.188555979046093
330	Romania	2005	RO	26	12872296	171	145	  80225600000	21382354	33.3	66.7	57.6	9.1	326897000	162540000	111702000	44682000	7976000	3751.95359687713	0.602005560285832
331	Romania	2006	RO	4	115952	190	186	  98418600000	21257016	32.1	67.9	58.4	9.6	444098000	215334000	143649000	78672000	6443000	4629.93488832111	0.00545476373541799
332	Romania	2007	RO	6	836782	87	81	 125403400000	21130503	30.9	69.1	59.1	9.9	652815000	271791000	221619000	157330000	2075000	5934.70964699704	0.0396006663920873
333	Romania	2008	RO	12	19598645.19	215	203	 142396300000	20635460	30.2	69.8	59.2	10.7	809401000	242492000	331505000	233531000	1867000	6900.56339911977	0.949755672517114
334	Romania	2009	RO	9	10479274.66	164	155	 120409200000	20440290	30.2	69.8	58.6	11.2	555887000	223365000	194044000	137516000	962000	5890.77747918449	0.512677396455725
335	Romania	2010	RO	6	3803488.4	139	133	 126746400000	20294683	30.6	69.4	57.5	11.9	572971000	219548000	210672000	140384000	2367000	6245.3008012	0.187413048038247
336	Romania	2011	RO	11	10653476.51	151	140	 133305900000	20199059	30	70	57.2	12.9	657411000	236969000	267643000	150317000	2482000	6599.60941744861	0.527424396849378
337	Romania	2012	RO	7	3872858.9	144	137	 133511400000	20095996	29.2	70.8	57.3	13.5	644211000	251034000	263553000	127069000	2554000	6643.68165678377	0.192717937443857
338	Romania	2013	RO	10	9043832.48	193	183	 144253500000	20020074	28.9	71.1	57.3	13.8	557769000	171014000	274580000	109971000	2204000	7205.44289696432	0.451738214354253
339	Romania	2014	RO	7	14690577.45	81	74	 150230100000	19947311	31.2	68.8	54.6	14.2	575120000	238410000	247045000	87531000	2134000	7531.34595434944	0.736469063424138
340	Romania	2015	RO	12	9489858.65	187	175	 160352800000	19870647	29.4	70.6	55.6	15	782142000	344146000	299223000	136435000	2338000	8069.83285446116	0.47758176419721
341	Romania	2016	RO	14	12421849.6	183	169	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
343	Slovakia	2003	SK	2	557289	11	9	  30064500000	5374873	20.6	79.4	69.9	9.6	169103000	93349000	53459000	22247000	48000	5593.52751218494	0.103684124257448
344	Slovakia	2004	SK	13	6821131	130	117	  34702300000	5371875	20.7	79.3	68.9	10.4	174028000	85602000	53070000	35005000	350000	6459.99767306574	1.26978587550902
345	Slovakia	2005	SK	9	2082765	132	123	  39219900000	5372685	20	80	68.7	11.4	194376000	96890000	57642000	39689000	156000	7299.86961826349	0.38765812624414
346	Slovakia	2006	SK	6	3617322	130	124	  45396200000	5372928	18.9	81.1	69.2	11.9	216562000	93251000	70954000	52201000	156000	8449.0616661902	0.673249669453974
347	Slovakia	2007	SK	4	234600	48	44	  56090600000	5373180	18.4	81.6	69.7	11.9	252100000	99712000	89133000	63010000	245000	10438.9951574301	0.0436612955456545
348	Slovakia	2008	SK	2	281657.82	90	88	  65839800000	5376064	17.6	82.4	70.1	12.3	304962000	130779000	100032000	73973000	179000	12246.8408114189	0.0523910838859061
349	Slovakia	2009	SK	10	6517436.33	78	68	  63818500000	5382401	16.5	83.5	70.1	13.4	302994000	124376000	102699000	75775000	144000	11856.8832013817	1.2108789980531
350	Slovakia	2010	SK	4	1047406	69	65	  67387100000	5390410	16.3	83.7	68.7	15.1	416369000	175245000	124752000	115081000	1291000	12501.293964652	0.194309152736063
351	Slovakia	2011	SK	2	3609173	64	62	  70443500000	5392446	15.7	84.3	68	16.4	468439000	174145000	129575000	163712000	1007000	13063.3667912484	0.669301649010486
352	Slovakia	2012	SK	5	8134194.6	61	56	  72420000000	5404322	15	85	68	17	585225000	241979000	143515000	199132000	600000	13400.3858393338	1.50512767373965
353	Slovakia	2013	SK	10	12897936.46	82	72	  73835100000	5410836	14.7	85.3	67.5	17.7	610876000	282609000	125126000	202219000	922000	13645.7841265195	2.38372341353536
354	Slovakia	2014	SK	6	15185169.13	29	23	  75560500000	5415949	15.2	84.8	66.7	18.1	669632000	246678000	189768000	230458000	2728000	13951.4792329101	2.80378731963687
355	Slovakia	2015	SK	12	11880998.72	95	83	  78070800000	5421349	14.6	85.4	66.5	18.9	927272000	259189000	258341000	406069000	3673000	14400.6224281078	2.19152073035696
356	Slovakia	2016	SK	15	7083234.96	111	96	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
357	Slovenia	2004	SI	5	6665218	144	139	  27736700000	1996433	24.4	75.6	59.9	15.7	379452000	254139000	75257000	49005000	1050000	13893.1283944916	3.33856332769494
358	Slovenia	2005	SI	12	5548241	171	159	  29235400000	1997590	24	76	59.4	16.7	412889000	242912000	99905000	69149000	923000	14635.3355793731	2.77746734815453
359	Slovenia	2006	SI	11	4238373	237	226	  31561200000	2003358	22.8	77.2	59.4	17.8	483812000	291400000	118561000	73012000	839000	15754.1487841913	2.11563434992647
360	Slovenia	2007	SI	5	4013102.23	59	54	  35152600000	2010377	22.2	77.8	59.3	18.5	500510000	299450000	122490000	77870000	700000	17485.576088465	1.99619386314109
361	Slovenia	2008	SI	9	34657509.51	174	165	  37951200000	2010269	21.9	78.1	59.2	19	616949000	398274000	135225000	82834000	618000	18878.6674818146	17.2402347695756
362	Slovenia	2009	SI	7	8425041.09	133	126	  36166200000	2032362	20.8	79.2	59.6	19.6	656882000	424399000	136351000	95669000	463000	17795.1565715163	4.14544312971803
363	Slovenia	2010	SI	4	418271.6	117	113	  36252400000	2046976	20.9	79.1	58.9	20.2	745942000	505817000	135921000	103771000	433000	17710.2222986493	0.204336347861431
364	Slovenia	2011	SI	9	21283406.28	130	121	  36896300000	2050189	19.7	80.3	58.8	21.6	894213000	660484000	127831000	105429000	469000	17996.5359291265	10.3811923095871
365	Slovenia	2012	SI	14	39274764.38	158	144	  36002500000	2055496	19	81	58	23	928306000	703098000	121483000	103283000	442000	17515.2371982237	19.1071957230761
366	Slovenia	2013	SI	7	15245171.72	156	149	  35917100000	2058821	18.5	81.5	57.1	24.4	935006000	715538000	121662000	97432000	374000	17445.4700044346	7.40480678990548
367	Slovenia	2014	SI	10	11059840.43	70	60	  37332400000	2061085	18.4	81.6	56.5	25.1	890232000	688518000	108289000	93061000	364000	18112.9841806621	5.36602829577625
368	Slovenia	2015	SI	33	58916160.75	206	173	  38570000000	2062874	17.4	82.6	55.9	26.6	853067000	650579000	115218000	86934000	337000	18697.2156321714	28.5602323505944
369	Slovenia	2016	SI	27	33699736.38	154	127	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
371	Spain	2003	ES	8	34765353	119	111	 803472000000	41827838	55.8	44.2	20.7	23.6	8213036000	4443438000	1261763000	2491959000	15873000	19209.0253385795	0.831153477260766
372	Spain	2004	ES	184	340977107.11	1540	1356	 861420000000	42547451	54.5	45.5	21	24.5	8945761000	4864930000	1427504000	2641653000	11674000	20246.101229425	8.01404312352343
373	Spain	2005	ES	214	311563660	1217	1003	 930566000000	43296338	51.7	48.3	22.3	26.1	10196871000	5485034000	1738053000	2959928000	13857000	21492.9493575184	7.19607418068475
374	Spain	2006	ES	212	441364108.61	1645	1433	1007974000000	44009971	50.9	49.1	22.8	26.4	11815218000	6557529000	1970824000	3265739000	21127000	22903.309797682	10.0287298214761
375	Spain	2007	ES	106	109960666.86	577	471	1080807000000	44784666	50.1	49.9	23.1	26.8	13342371000	7453902000	2348843000	3518595000	21031000	24133.4165582479	2.45531956987242
376	Spain	2008	ES	215	487527917.96	1354	1139	1116207000000	45668939	49.8	50.2	23.1	27	14701393000	8073521000	2672288000	3932413000	23170000	24441.2728747651	10.6752626322236
377	Spain	2009	ES	217	334585568.24	1150	933	1079034000000	46239273	49.5	50.5	23.2	27.4	14581676000	7567596000	2926733000	4058359000	28988000	23335.8772747141	7.2359608300935
378	Spain	2010	ES	334	788163109.55	1558	1224	1080913000000	46486619	48.1	51.9	23.4	28.4	14588455000	7506443000	2930562000	4123150000	28300000	23252.1319737191	16.9546232121119
379	Spain	2011	ES	402	885749275.82	1866	1464	1070413000000	46667174	47	53	23.7	29.3	14184295000	7396369000	2762385000	4002024000	23517000	22937.1720687437	18.9801352835293
380	Spain	2012	ES	443	982710082.69	2093	1650	1039758000000	46818219	46.4	53.6	23.6	30	13391607000	7094281000	2556646000	3715573000	25107000	22208.4056636157	20.9899074266366
381	Spain	2013	ES	460	1206004283.34	2384	1924	1025634000000	46727890	45.6	54.4	23.5	30.9	13011798000	6906396000	2436444000	3647407000	21551000	21949.0758089013	25.8090892471284
382	Spain	2014	ES	342	705205224.06	1138	796	1037025000000	46512199	44.5	55.5	23.9	31.7	12820756000	6784311000	2408695000	3606171000	21580000	22295.7637414649	15.1617261540354
383	Spain	2015	ES	591	1044121414.79	2207	1616	1075639000000	46449565	43.5	56.5	24.4	32.1	13171807000	6920014000	2520417000	3703884000	27492000	23157.1382853639	22.4786048004971
384	Spain	2016	ES	594	1296716320.95	2118	1524	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
386	Sweden	2003	SE	7	21593520	58	51	 293444500000	8940788	22.1	77.9	54	23.9	10606190000	7885952000	370663000	2308367000	41209000	32820.876638614	2.41516966960854
387	Sweden	2004	SE	81	366512972	882	801	 307433400000	8975670	21.5	78.5	53.8	24.7	10426115000	7667218000	324628000	2392622000	41647000	34251.8608638687	40.8340516084036
388	Sweden	2005	SE	91	230842052	676	585	 313218000000	9011392	21.3	78.7	52.8	25.9	10608692000	7724570000	517658000	2333391000	32966000	34758.0040908219	25.6166918496055
389	Sweden	2006	SE	105	260107655.15	804	699	 334876500000	9047752	26.9	73.1	47.2	25.9	11721757000	8753782000	525156000	2417859000	24961000	37012.1219060823	28.7483183833951
390	Sweden	2007	SE	44	56262011	265	221	 356434300000	9113257	26.5	73.5	47.1	26.4	11607658000	8470395000	573615000	2544297000	19351000	39111.6260629981	6.17364472438339
391	Sweden	2008	SE	98	321755651.03	718	620	 352317100000	9182927	26.2	73.8	47	26.9	12314356000	9118999000	546843000	2624386000	24129000	38366.5360728665	35.0384633385412
392	Sweden	2009	SE	91	263025894.6	602	511	 309678700000	9256347	25.4	74.6	47	27.6	10682826000	7577290000	467083000	2630637000	7910000	33455.8222590402	28.4157340471354
393	Sweden	2010	SE	105	257079544.78	638	533	 369076600000	9340682	25	75	46.7	28.2	11869921000	8160171000	578256000	3127405000	4089000	39512.810734805	27.5225668511143
394	Sweden	2011	SE	116	401610654.6	726	610	 404945500000	9415570	24.4	75.6	46.5	29.1	13157434000	9088352000	566901000	3460431000	41861000	43008.0706744254	42.6538865517436
395	Sweden	2012	SE	125	364257515.49	758	633	 423340700000	9482855	23.8	76.2	46.1	30.1	13891270000	9416597000	667157000	3766846000	40671000	44642.7473582587	38.4122203165608
396	Sweden	2013	SE	116	478654604.85	848	732	 435752100000	9555893	22.9	77.1	45.7	31.4	14406172000	9932844000	530428000	3910420000	32364000	45600.3536247214	50.0899920970233
397	Sweden	2014	SE	84	189954637.63	325	241	 432691100000	9644864	22.1	77.9	45	32.8	13611914000	9125790000	509974000	3943397000	32753000	44862.3329473593	19.6949005843939
398	Sweden	2015	SE	137	368635768.19	676	539	 446945700000	9747355	21.6	78.4	44.4	34	14581387000	10137061000	500989000	3916181000	27156000	45853.0237177162	37.8190563686251
399	Sweden	2016	SE	118	306395873.53	630	512	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
402	United Kingdom	2003	UK	45	90449847	201	156	1795472500000	59501394	29.7	70.3	44.8	25.5	28754480000	18319075000	2988006000	6914017000	533382000	30175.3014391562	1.52012988132681
403	United Kingdom	2004	UK	400	1408489704.13	2732	2332	1922721200000	59793759	29.6	70.4	44.1	26.3	29833653000	18664948000	3196700000	7373508000	598497000	32155.8843624466	23.5557979241613
