Org1;Org2;nbLinkTmp;Org
63262;UNIVERSITAT AUTONOMA DE BARCELONA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63263;INSTITUTE OF COMMUNICATION AND COMPUTER SYSTEMS;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63264;CONSORZIO NAZIONALE INTERUNIVERSITARIO PER LE TELECOMUNICAZIONI;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63265;ELUPEG LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63266;THE UNIVERSITY OF LIVERPOOL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63267;FUNDACION ZARAGOZA LOGISTICS CENTER;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63268;HAVENBEDRIJF ROTTERDAM NV;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63269;SELEX ES SPA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63270;BMT GROUP LTD;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63271;BUSINESS-E SPA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63272;CLMS (UK) LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63273;eBOS Technologies Ltd;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63274;INLECOM SYSTEMS LTD;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63275;TECHNISCHE UNIVERSITEIT DELFT;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63276;FUNDACION TECNALIA RESEARCH & INNOVATION;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63277;TECHNISCHE UNIVERSITAET HAMBURG-HARBURG;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63278;DHL EXEL SUPPLY CHAIN SPAIN SL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63279;CENTRO RICERCHE FIAT SCPA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63280;BRUNEL UNIVERSITY;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63281;UNIVERSITA DEGLI STUDI DI TRENTO;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63282;UNIVERSITAT WIEN;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63283;ABB AB;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63284;GRUPO ANTOLIN-INGENIERIA SA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63285;NPL MANAGEMENT LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63286;GLAXOSMITHKLINE RESEARCH AND DEVELOPMENT LTD;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63287;JYVASKYLAN YLIOPISTO;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63288;MUSEUM NATIONAL D'HISTOIRE NATURELLE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63289;NATURAL HISTORY MUSEUM;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63290;NATURHISTORISCHES MUSEUM;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63291;SENCKENBERG GESELLSCHAFT FUR NATURFORSCHUNG;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63292;THALES ALENIA SPACE UK LTD;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63293;AVANTI COMMUNICATIONS LTD;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63294;INTERUNIVERSITAIR MICRO-ELECTRONICACENTRUM IMEC VZW;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63295;JOHANNES GUTENBERG-UNIVERSITAT MAINZ;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63296;RUPRECHT-KARLS-UNIVERSITAET HEIDELBERG;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63297;TECHNISCHE UNIVERSITEIT EINDHOVEN;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63298;UNIVERSITAET KASSEL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63299;ISTITUTO DI STUDI PER L'INTEGRAZIONE DEI SISTEMI SCRL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63300;NORSK MARINTEKNISK FORSKNINGSINSTITUTT AS;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63301;FINANCE WATCH AISBL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63302;SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO SANT'ANNA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63303;STICHTING DELTARES;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63304;CYBERTRONICA UG (HAFTUNGSBESCHRANKT) GMBH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63305;UNIVERSITAET GRAZ;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63306;UNIVERSITAET PADERBORN;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63307;CORILA - CONSORZIO PER IL COORDINAMENTO DELLE RICERCHE INERENTI AL SISTEMA LAGUNARE DI VENEZIA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63308;SVEUCILISTE U ZAGREBU FAKULTET ELEKTROTEHNIKE I RACUNARSTVA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63309;EIDGENOESSISCHE MATERIALPRUEFUNGS- UND FORSCHUNGSANSTALT;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63310;FONDAZIONE BRUNO KESSLER;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63311;KOZEP-EUROPAI EGYETEM;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63312;MARSEILLE GYPTIS INTERNATIONAL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63313;STMICROELECTRONICS SRL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63314;BARCELONA SUPERCOMPUTING CENTER - CENTRO NACIONAL DE SUPERCOMPUTACION;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63315;THE CYPRUS INSTITUTE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63316;UNIVERSITE DE GENEVE;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63317;FLEXENABLE LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63318;STELLENBOSCH UNIVERSITY;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63319;GENXPRO GMBH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63320;ERICSSON AB;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63321;CENTRO DE INVESTIGACION COOPERATIVADE ENERGIAS ALTERNATIVAS FUNDACION;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63322;INSTITUT PASTEUR;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63323;UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63324;FUNDACAO DA FACULDADE DE CIENCIAS DA LISBOA UNIVERSISADE DE LISBOA FP;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63325;ASOCIACION CENTRO DE INVESTIGACION COOPERATIVA EN BIOMATERIALES- CIC biomaGUNE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63326;UNIVERSITE DE STRASBOURG;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63327;UNIVERSITAET AUGSBURG;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63328;ITA-SUOMEN YLIOPISTO;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63329;MAGYAR TUDOMANYOS AKADEMIA SZEGEDIBIOLOGIAI KUTATOKOZPONT;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63330;MEDICAL RESEARCH COUNCIL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63331;M-SOLV LTD;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63332;JOHANN WOLFGANG GOETHE UNIVERSITAET FRANKFURT AM MAIN;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63333;AVANZARE INNOVACION TECNOLOGICA SL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63334;GVS S.P.A.;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63335;JUSTUS-LIEBIG-UNIVERSITAET GIESSEN;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63336;ALCATEL-LUCENT DEUTSCHLAND AG;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63337;FUJIFILM DIOSYNTH BIOTECHNOLOGIES UK LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63338;Institute of Mechanics, Bulgarian Academy of Sciences;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63339;ECOLE CENTRALE DES ARTS ET MANUFACTURES;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63340;GESELLSCHAFT FUR ANGEWANDTE MIKRO UND OPTOELEKTRONIK MIT BESCHRANKTERHAFTUNG AMO GMBH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63341;TECHNISCHE UNIVERSITAET CHEMNITZ;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63342;Centre for Process Innovation Limited;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63343;AERAS GLOBAL TB VACCINE FOUNDATION;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63344;AZIENDA OSPEDALIERA UNIVERSITARIA POLICLINICO  PAOLO GIACCONE DI PALERMO;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63345;BUNDESINSTITUT FUR IMPFSTOFFE UND BIOMEDIZINISCHE ARZNEIMITTEL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63346;EDUCATIONAL FOUNDATION YONSEI UNIVERSITY;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63347;INSTITUT PASTEUR DE LILLE FONDATION;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63348;INSTITUT SCIENTIFIQUE DE SANTE PUBLIQUE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63349;INTERNATIONAL TUBERCULOSIS RESEARCH CENTER;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63350;ISTITUTO NAZIONALE MALATTIE INFETTIVE L.SPALLANZANI - IRCCS;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63351;KWAZULU NATAL RESEARCH INSTITUTE FOR TB-HIV (K-RITH) NPC;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63352;STICHTING BIOMEDICAL PRIMATE RESEARCH CENTER;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63353;STICHTING TUBERCULOSIS VACCINE INITIATIVE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63354;THE UNIVERSITY OF SYDNEY;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63355;CENTRO DE INVESTIGACION BIOMEDICA EN RED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63356;UMEA UNIVERSITET;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63357;THALES SA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63358;INSTYTUT TECHNOLOGII MATERIALOW ELEKTRONICZNYCH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63359;NOVALIA LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63360;Sabanci University;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63361;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF CRETE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63362;GRINP SRL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63363;DUBLIN INSTITUTE OF TECHNOLOGY;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63364;UNIVERSITA DEGLI STUDI DI SALERNO;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63365;FUNDACIO INSTITUT CATALA DE NANOCIENCIA I NANOTECNOLOGIA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63366;SZKOLA GLOWNA HANDLOWA W WARSZAWIE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63367;EKONOMSKI INSTITUT ZAGREB;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63368;SEURECO SOCIETE EUROPEENNE D'ECONOMIE SARL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63369;COPENHAGEN BUSINESS SCHOOL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63370;DELTA TECH SPA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63371;FUNDACION PARA LA INVESTIGACION, DESARROLLO Y APLICACION DE MATERIALES COMPUESTOS;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63372;IFOM FONDAZIONE ISTITUTO FIRC DI ONCOLOGIA MOLECOLARE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63373;FUNDACION IMDEA NANOCIENCIA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63374;COMITE EUROPEEN DE COORDINATION DE L'HABITAT SOCIAL AISBL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63375;UNIVERSITE DES SCIENCES ET TECHNOLOGIES DE LILLE - LILLE I;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63376;BELARUSIAN STATE UNIVERSITY;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63377;CONFEDERATION EUROPEENNE DES SYNDICATS ADF;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63378;TAX JUSTICE NETWORK LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63379;ENERGIA-DA SRL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63380;ENERGY CONSULTING NETWORK APS;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63381;RADIO-TELEVISION BELGE DE LA COMMUNAUTE FRANCAISE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63382;Ss. CYRIL AND METHODIUS UNIVERSITY IN SKOPJE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63383;UNIVERSITATEA TEHNICA CLUJ-NAPOCA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63384;GERMAN STEMCELL NETWORK (GSCN) - DEUTSCHES STAMMZELLNETZWERK EV;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63385;INSTITUT FUER MOLEKULARE BIOTECHNOLOGIE GMBH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63386;LIFE AND BRAIN GMBH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63387;MAGYAR TUDOMANYOS AKADEMIA ENERGIATUDOMANYI KUTATOKOZPONT;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63388;INFINEON TECHNOLOGIES AG;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63389;UNIVERSITE DE NAMUR ASBL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63390;EBG (Entwicklungs- und Betriebsgesellschaft) MedAustron GmbH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63391;GRAND ACCELERATEUR NATIONAL D'IONS LOURDS;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63392;GROUPEMENT INTERET PUBLIC ARRONAX;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63393;GSI HELMHOLTZZENTRUM FUER SCHWERIONENFORSCHUNG GMBH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63394;Magyar Tudomanyos Akademia Atommagkutato Intezete;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63395;UNIVERSITA DELLA CALABRIA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63396;Asociacion - Centro de Investigacion Cooperativa en Nanociencias - CIC NANOGUNE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63397;Graphenea S.A.;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63398;UNIVERSITAET REGENSBURG;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63399;INTOMICS AS;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63400;SIRION BIOTECH GMBH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63401;UNIVERSITA DEGLI STUDI DI TRIESTE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63402;IBM IRELAND LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63403;UNIVERSITE DE MONTPELLIER;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63404;UNIVERSITE D'ARTOIS;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63405;LABORATOIRE NATIONAL DE METROLOGIE ET D'ESSAIS;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63406;SCUOLA INTERNAZIONALE SUPERIORE DI STUDI AVANZATI DI TRIESTE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63407;REPSOL SA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63408;ALCATEL-LUCENT ITALIA S.P.A.;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63409;AIXTRON LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63410;INSTITUT FUER SEEVERKEHRSWIRTSCHAFT UND LOGISTIK;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63411;A.P. Moller - Mærsk A-S;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63412;ADRIA KOMBI NACIONALNA DRUZBA ZA KOMBINIRAMI PROMET DOO LJUBLJANA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63413;Clecat - European Association for Forwarding, Transport, Logistics and Customs Service;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63414;CONEX SA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63415;DFDS AS;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63416;ELECTRONIC GERMAN LINK GMBH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63417;ELGEKA AE EMPORIO-DIANOMES-ANTIPROSOPIES-BIOMICHANIA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63418;ELLINIKES APOTHIKES SARANTITIS AE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63419;EXMILE SOLUTIONS LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63420;I.S.P.C. GENT;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63421;Mapotempo;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63422;NWL NORDDEUTSCHE WASSWEREG LOGISTIK GMBH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63423;PHARMA BELGIUM SA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63424;SECURITY PROJECTS UK LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63425;SONAE CENTER SERVICOS II S.A.;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63426;SUMY BELGIUM;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63427;TRIMODAL LOGISTIK GMBH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63428;AIRBUS OPERATIONS SL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63429;ASSOCIATION HOSPITALIERE DE BRUXELLES-CENTRE HOSPITALIER UNIVERSITAIRE SAINT PIERRE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63430;INTERNATIONAL CENTRE FOR GENETIC ENGINEERING AND BIOTECHNOLOGY;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63431;MATER MISERICORDIAE UNIVERSITY HOSPITAL LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63432;AMALYST LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63433;ATHERM;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63434;BRETON SPA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63435;DSM Ahead BV;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63436;DYESOL ITALIA SRL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63437;EPCOS AG;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63438;G24 POWER LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63439;GUGER TECHNOLOGIES OG;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63440;INSTITUTO DE TECNOLOGIAS EMERGENTES DE LA RIOJA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63441;INTERNACIONAL DE COMPOSITES SA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63442;ITALCEMENTI FABBRICHE RIUNITE CEMENTO SPA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63443;LIBRE SOCIETA A RESPONSABILITA LIMITATA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63444;N VISION SYSTEMS AND TECHNOLOGIES SL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
