name	Year	Country	numberOfProjectCoordinators	totalBudgetManagedAsCoordinators	TotalOfProject	numberOfProjectParticipants	GDP	Population	GDPPerCapita	totalBudgetManagedAsCoordinatorsPerCapita
342	Slovakia	2008/01/01	SK	2	281657.82	90	88	65839.8	5376064	12246.8408114189	0.0523910838859061
343	Slovakia	2009/01/01	SK	10	6517436.33	78	68	63818.5	5382401	11856.8832013817	1.2108789980531
344	Slovakia	2010/01/01	SK	4	1047406	69	65	67387.1	5390410	12501.293964652	0.194309152736063
345	Slovakia	2011/01/01	SK	2	3609173	64	62	70443.5	5392446	13063.3667912483	0.669301649010486
346	Slovakia	2012/01/01	SK	5	8134194.6	61	56	72420	5404322	13400.3858393338	1.50512767373965
347	Slovakia	2013/01/01	SK	10	12897936.46	82	72	73835.1	5410836	13645.7841265195	2.38372341353536
348	Slovakia	2014/01/01	SK	6	15185169.13	29	23	75560.5	5415949	13951.4792329101	2.80378731963687
349	Slovakia	2015/01/01	SK	12	11880998.72	95	83	78070.8	5421349	14400.6224281078	2.19152073035696
350	Slovakia	2016/01/01	SK	12	6668234.96	68	56	NA	NA	NA	NA
351	Slovenia	2004/01/01	SI	5	6665218	144	139	27736.7	1996433	13893.1283944916	3.33856332769494
352	Slovenia	2005/01/01	SI	12	5548241	171	159	29235.4	1997590	14635.3355793731	2.77746734815453
353	Slovenia	2006/01/01	SI	11	4238373	237	226	31561.2	2003358	15754.1487841913	2.11563434992647
354	Slovenia	2007/01/01	SI	5	4013102.23	59	54	35152.6	2010377	17485.576088465	1.99619386314109
355	Slovenia	2008/01/01	SI	9	34657509.51	174	165	37951.2	2010269	18878.6674818146	17.2402347695756
356	Slovenia	2009/01/01	SI	7	8425041.09	133	126	36166.2	2032362	17795.1565715163	4.14544312971803
357	Slovenia	2010/01/01	SI	4	418271.6	117	113	36252.4	2046976	17710.2222986493	0.204336347861431
358	Slovenia	2011/01/01	SI	9	21283406.28	130	121	36896.3	2050189	17996.5359291265	10.3811923095871
359	Slovenia	2012/01/01	SI	14	39274764.38	158	144	36002.5	2055496	17515.2371982237	19.1071957230761
360	Slovenia	2013/01/01	SI	7	15245171.72	156	149	35917.1	2058821	17445.4700044346	7.40480678990548
361	Slovenia	2014/01/01	SI	10	11059840.43	70	60	37332.4	2061085	18112.9841806621	5.36602829577625
362	Slovenia	2015/01/01	SI	33	58916160.75	206	173	38570	2062874	18697.2156321714	28.5602323505944
363	Slovenia	2016/01/01	SI	22	29467174.18	107	85	NA	NA	NA	NA
364	Slovenia	2017/01/01	SI	1	157287.6	1	0	NA	NA	NA	NA
365	Spain	2003/01/01	ES	8	34765353	119	111	803472	41827838	19209.0253385795	0.831153477260766
366	Spain	2004/01/01	ES	184	340977107.11	1540	1356	861420	42547451	20246.101229425	8.01404312352343
367	Spain	2005/01/01	ES	214	311563660	1217	1003	930566	43296338	21492.9493575184	7.19607418068475
368	Spain	2006/01/01	ES	212	441364108.61	1645	1433	1007974	44009971	22903.309797682	10.0287298214761
369	Spain	2007/01/01	ES	106	109960666.86	577	471	1080807	44784666	24133.4165582479	2.45531956987242
370	Spain	2008/01/01	ES	215	487527917.96	1354	1139	1116207	45668939	24441.2728747651	10.6752626322236
371	Spain	2009/01/01	ES	217	334585568.24	1150	933	1079034	46239273	23335.8772747141	7.2359608300935
372	Spain	2010/01/01	ES	334	788163109.55	1558	1224	1080913	46486619	23252.1319737191	16.9546232121119
373	Spain	2011/01/01	ES	402	885749275.82	1866	1464	1070413	46667174	22937.1720687437	18.9801352835293
374	Spain	2012/01/01	ES	443	982710082.69	2093	1650	1039758	46818219	22208.4056636157	20.9899074266366
375	Spain	2013/01/01	ES	460	1206004283.34	2384	1924	1025634	46727890	21949.0758089013	25.8090892471284
376	Spain	2014/01/01	ES	342	705189046.06	1138	796	1037025	46512199	22295.7637414649	15.1613783313062
377	Spain	2015/01/01	ES	592	1047392031.41	2190	1598	1075639	46449565	23157.1382853639	22.5490170125382
378	Spain	2016/01/01	ES	428	803064299.33	1434	1006	NA	NA	NA	NA
379	Spain	2017/01/01	ES	29	26586780	29	0	NA	NA	NA	NA
380	Sweden	2003/01/01	SE	7	21593520	58	51	293444.5	8940788	32820.876638614	2.41516966960854
381	Sweden	2004/01/01	SE	81	366512972	882	801	307433.4	8975670	34251.8608638687	40.8340516084036
382	Sweden	2005/01/01	SE	91	230842052	676	585	313218	9011392	34758.0040908219	25.6166918496055
383	Sweden	2006/01/01	SE	105	260107655.15	804	699	334876.5	9047752	37012.1219060823	28.7483183833951
384	Sweden	2007/01/01	SE	44	56262011	265	221	356434.3	9113257	39111.6260629981	6.17364472438339
385	Sweden	2008/01/01	SE	98	321755651.03	718	620	352317.1	9182927	38366.5360728665	35.0384633385412
386	Sweden	2009/01/01	SE	91	263025894.6	602	511	309678.7	9256347	33455.8222590402	28.4157340471354
387	Sweden	2010/01/01	SE	105	257079544.78	638	533	369076.6	9340682	39512.810734805	27.5225668511143
388	Sweden	2011/01/01	SE	116	401610654.6	726	610	404945.5	9415570	43008.0706744254	42.6538865517436
389	Sweden	2012/01/01	SE	125	364257515.49	758	633	423340.7	9482855	44642.7473582587	38.4122203165608
390	Sweden	2013/01/01	SE	116	478654604.85	848	732	435752.1	9555893	45600.3536247214	50.0899920970233
391	Sweden	2014/01/01	SE	84	189954637.63	325	241	432691.1	9644864	44862.3329473593	19.6949005843939
392	Sweden	2015/01/01	SE	137	368096313.59	668	531	446945.7	9747355	45853.0237177162	37.7637126779521
393	Sweden	2016/01/01	SE	81	207963562.9	359	278	NA	NA	NA	NA
394	Sweden	2017/01/01	SE	5	869286	5	0	NA	NA	NA	NA
395	United Kingdom	2003/01/01	UK	45	90449847	201	156	1795472.5	59501394	30175.3014391562	1.52012988132681
396	United Kingdom	2004/01/01	UK	400	1408489704.13	2732	2332	1922721.2	59793759	32155.8843624466	23.5557979241613
397	United Kingdom	2005/01/01	UK	490	794024282	2247	1757	2017339.9	60182050	33520.6245051473	13.1937061299839
398	United Kingdom	2006/01/01	UK	491	724527730	2627	2136	2135220.7	60620361	35222.8304941965	11.9518874194761
399	United Kingdom	2007/01/01	UK	274	260097465	1031	757	2237031.3	61073279	36628.6424542556	4.25877682120195
400	United Kingdom	2008/01/01	UK	496	973416190.4	2363	1867	1964449.7	61571647	31905.1023598573	15.8094876104256
401	United Kingdom	2009/01/01	UK	539	1187504992.24	2094	1555	1705456	62042343	27488.5814676599	19.1402344724473
402	United Kingdom	2010/01/01	UK	638	1036221082.55	2481	1843	1833021.3	62510197	29323.5566030931	16.5768327773787
403	United Kingdom	2011/01/01	UK	749	1386153417.58	2999	2250	1876151.1	63022532	29769.5290947688	21.9945688246864
404	United Kingdom	2012/01/01	UK	870	1472794627.49	3087	2217	2065736.8	63495303	32533.6946576978	23.1953319049442
405	United Kingdom	2013/01/01	UK	1013	1987010755.2	3496	2483	2048328	63905297	32052.5542663545	31.0930525086207
406	United Kingdom	2014/01/01	UK	805	889546658.94	1820	1015	2260804.8	64351155	35132.3111449981	13.8233207926105
407	United Kingdom	2015/01/01	UK	973	1511165013.14	2866	1893	2575719.2	64875165	39702.6997927481	23.2934284350568
408	United Kingdom	2016/01/01	UK	783	1117804528.32	1839	1056	NA	NA	NA	NA
409	United Kingdom	2017/01/01	UK	77	24983301.9	77	0	NA	NA	NA	NA
