sectperf	unit	geo	time	values
BES	MIO_PPS	IS	2015-01-01	168.092
BES	MIO_PPS	IT	2015-01-01	12305.016
BES	MIO_PPS	LT	2015-01-01	172.099
BES	MIO_PPS	LU	2015-01-01	290.736
BES	MIO_PPS	LV	2015-01-01	56.632
BES	MIO_PPS	MT	2015-01-01	40.895
BES	MIO_PPS	NL	2015-01-01	6981.289
BES	MIO_PPS	NO	2015-01-01	2543.374
BES	MIO_PPS	PL	2015-01-01	3557.069
BES	MIO_PPS	PT	2015-01-01	1385.452
BES	MIO_PPS	RO	2015-01-01	694.258
BES	MIO_PPS	RU	2015-01-01	19079.689
BES	MIO_PPS	SE	2015-01-01	7910.184
BES	MIO_PPS	SI	2015-01-01	826.237
BES	MIO_PPS	SK	2015-01-01	396.313
BES	MIO_PPS	UK	2015-01-01	23027.058
BES	MIO_PPS_KP05	AT	2015-01-01	5840.585
BES	MIO_PPS_KP05	BE	2015-01-01	5753.29
BES	MIO_PPS_KP05	BG	2015-01-01	591.329
BES	MIO_PPS_KP05	CY	2015-01-01	13.321
BES	MIO_PPS_KP05	CZ	2015-01-01	2454.469
BES	MIO_PPS_KP05	DE	2015-01-01	49745.01
BES	MIO_PPS_KP05	DK	2015-01-01	2984.931
BES	MIO_PPS_KP05	EA19	2015-01-01	118000.831
BES	MIO_PPS_KP05	EE	2015-01-01	150.125
BES	MIO_PPS_KP05	EL	2015-01-01	599.834
BES	MIO_PPS_KP05	ES	2015-01-01	6811.625
BES	MIO_PPS_KP05	EU28	2015-01-01	159341.415
BES	MIO_PPS_KP05	FI	2015-01-01	2832.511
BES	MIO_PPS_KP05	FR	2015-01-01	25399.614
BES	MIO_PPS_KP05	HR	2015-01-01	252.692
BES	MIO_PPS_KP05	HU	2015-01-01	1605.244
BES	MIO_PPS_KP05	IS	2015-01-01	154.021
BES	MIO_PPS_KP05	IT	2015-01-01	10101.023
BES	MIO_PPS_KP05	LT	2015-01-01	144.825
BES	MIO_PPS_KP05	LU	2015-01-01	224.399
BES	MIO_PPS_KP05	LV	2015-01-01	47.858
BES	MIO_PPS_KP05	MT	2015-01-01	37.625
BES	MIO_PPS_KP05	NL	2015-01-01	6307.967
BES	MIO_PPS_KP05	NO	2015-01-01	2231.015
BES	MIO_PPS_KP05	PL	2015-01-01	3041.033
BES	MIO_PPS_KP05	PT	2015-01-01	1146.986
BES	MIO_PPS_KP05	RO	2015-01-01	476.094
BES	MIO_PPS_KP05	RU	2015-01-01	17554.483
BES	MIO_PPS_KP05	SE	2015-01-01	7065.66
BES	MIO_PPS_KP05	SI	2015-01-01	751.024
BES	MIO_PPS_KP05	SK	2015-01-01	350.031
BES	MIO_PPS_KP05	UK	2015-01-01	22853.127
BES	PC_GDP	AT	2015-01-01	2.18
BES	PC_GDP	BE	2015-01-01	1.77
BES	PC_GDP	BG	2015-01-01	0.7
BES	PC_GDP	CY	2015-01-01	0.08
BES	PC_GDP	CZ	2015-01-01	1.06
BES	PC_GDP	DE	2015-01-01	1.95
BES	PC_GDP	DK	2015-01-01	1.87
BES	PC_GDP	EA19	2015-01-01	1.35
BES	PC_GDP	EE	2015-01-01	0.69
BES	PC_GDP	EL	2015-01-01	0.32
BES	PC_GDP	ES	2015-01-01	0.64
BES	PC_GDP	EU28	2015-01-01	1.3
BES	PC_GDP	FI	2015-01-01	1.94
BES	PC_GDP	FR	2015-01-01	1.45
BES	PC_GDP	HR	2015-01-01	0.44
BES	PC_GDP	HU	2015-01-01	1.01
BES	PC_GDP	IS	2015-01-01	1.42
BES	PC_GDP	IT	2015-01-01	0.74
BES	PC_GDP	LT	2015-01-01	0.28
BES	PC_GDP	LU	2015-01-01	0.67
BES	PC_GDP	LV	2015-01-01	0.15
BES	PC_GDP	MT	2015-01-01	0.37
BES	PC_GDP	NL	2015-01-01	1.12
BES	PC_GDP	NO	2015-01-01	1.05
BES	PC_GDP	PL	2015-01-01	0.47
