id;Org1;Org2;nbLinkTmp;Org
1729211;UNIVERSITAT POLITECNICA DE VALENCIA;ZOZ GMBH;1;ZOZ GMBH
1729221;ASOCIACION CENTRO TECNOLOGICO CEIT-IK4;ZOZ GMBH;1;ZOZ GMBH
1729231;TWI LIMITED;ZOZ GMBH;1;ZOZ GMBH
1729241;INSTITUTO TECNOLOGICO METALMECANICO, MUEBLE, MADERA, EMBALAJE Y AFINES-AIDIMME;ZOZ GMBH;1;ZOZ GMBH
1729251;VLAAMSE INSTELLING VOOR TECHNOLOGISCH ONDERZOEK N.V.;ZOZ GMBH;1;ZOZ GMBH
1729262;APR SRL;ZOZ GMBH;1;ZOZ GMBH
1729271;LAURENTIA TECHNOLOGIES SLL;ZOZ GMBH;1;ZOZ GMBH
1729281;TLS TECHNIK GMBH & CO. SPEZIALPULVER KG;ZOZ GMBH;1;ZOZ GMBH
